a little	một chút
trussed arch	vòm giàn
trussed beam 	dầm giàn, dầm mắt cáo 
trussed girder 	dầm vượt suốt; giàn vượt suốt 
trust	niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
tubular girder 	dầm ống 
tuesday	thứ 3
tune	điệu, giai điệu; lên dây, so dây
tuned plate load 	tải điều hướng (trong mạch anôt) 
tunnel	đường hầm, hang
turn	quay, xoay, vặn; sự quay, vòng quay
tv television	vô tuyến truyền hình
twice	hai lần
twin	sinh đôi, tạo thành cặp; cặp song sinh
twist	xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twist step of a cable	bước xoắn của sợi thép trong bó xoắn
twisted	được xoắn, được cuộn
twisting test	sự thử xoắn
two-hinged arch	vòm hai khớp
two-way reinforcement 	cốt (thép) hai hướng
type	loại, kiểu, mẫu; phân loại, xếp loại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
tyre	lốp, vỏ xe
ugly	xấu xí, xấu xa
ultimate	cuối cùng, sau cùng
ultimate bending strength 	giới hạn bền uốn
ultimate compressive strength 	giới hạn bền nén
ultimate load 	tải trọng giới hạn 
ultimate strength 	giới hạn bền
ultimately	cuối cùng, sau cùng
ultrasonic test	sự thử bằng siêu âm 
umbrella	ô, dù
unable	không có năng lực, không có tài
unable able	không thể, không có khẳ năng
unacceptable	không thể chấp nhận, không tán thành, không tha thứ; không chịu nổi
unacceptable acceptable	không thể chấp nhận
unbalanced load 	tải trọng không cân bằng 
unbonded tendon	cốt thép dự ứng lực không dính bám với bê tông
unbonded tendon	cốt thép dự ứng lực không dính bám với bê tông
uncertain	thiếu chính xác, không chắc chắn
uncertain certain	không chắc chắn, khôn biết rõ ràng
uncle	chú, bác
uncomfortable	bất tiện, khó chịu, không thoải mái
uncomfortable comfortable	bất tiện, không tiện lợi
unconscious	bất tỉnh, không có ý thức, không biết rõ
unconscious conscious	bất tỉnh, ngất đi
uncontrolled	không bị điều khiển, không bị kiểm tra, không bị hạn
uncontrolled control	không bị kiềm chế, không bị kiểm tra
uncorrected defects 	các sai sót không được sửa chữa
under	dưới, ở dưới; ở phía dưới, về phía dưới
underground	dưới mặt đất, ngầm dưới đất; ngầm
underneath	dưới, bên dưới
understand	hiểu, nhận thức
understanding	trí tuệ, sự hiểu biết
underwater	ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	tháo, gỡ; xóa bỏ, hủy bỏ
undo do	tháo, gỡ, xóa, hủy bỏ
unemployed	thất nghiệp; không dùng, không sử dụng được
unemployed employ	không dùng, thất nghiệp
unemployment	sự thất nghiệp, nạn thất nghiệp
unemployment employment	sự thất nghiệp, tình trạng thất nghiệp
unexpected	bất ngờ, gây ngạc nhiên
unexpected, unexpectedly	bất ngờ, đột ngột, gây ngạc nhiên
unexpectedly	bất ngờ, gây ngạc nhiên
unfair	gian lận, không công bằng; bất lợi
unfair, unfairly fair	không đúng, không công bằng, gian lận
unfairly	gian lận, không công bằng; bất lợi
unfilled tubular steel pile	cọc ống thép không lấp lòng
unfortunate	không may, rủi ro, bất hạnh
unfortunately	một cách đáng tiếc, một cách không may
unfriendly	không thân thiện, không có thiện cảm
unfriendly friendly	đối địch, không thân thiện
unhappiness	nỗi buồn, sự bất hạnh
unhappiness happiness	sự buồn, nỗi buồn
unhappy	buồn rầu, khốn khổ
unhappy happy	buồn rầu, khổ sở
uniform	đồng phục; đều, giống nhau, đồng dạng
uniform beam 	dầm tiết diện không đổi, dầm (có) mặt cắt đều 
uniform load 	tải trọng đều 
unimportant	khônh quan trọng, không trọng đại
unimportant important	không quan trọng
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
unit	liên kết, hợp nhất, hợp lại, kết thân
unit load 	tải trọng riêng, tải trọng trên đơn vị diện tích 
united	liên minh, đoàn kết, chung, thống nhất
universe	vũ trụ
university	trường đại học
unkind	độc ác, tàn nhẫn
unkind kind	không tử tế, không tốt
unknown	không biết
unknown know	không biết, không được nhận ra
unless	trừ phi, trừ khi, nếu không
unlike	khác, không giống
unlike like	không giống, khác
unlikely	không thể xảy ra, không chắc xảy ra
unlikely likely	không có thể xảy ra, không chắc chắn; không có thực
unload	cất gánh nặng, dỡ hàng
unload load	tháo, dỡ
unlucky	không gặp may, bất hạnh
unlucky lucky	không gặp may, không may mắn
unnecessary	không cần thiết, không mong muốn
unnecessary necessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
unpleasant pleasant	không dễ chịu, khó chịu
unreasonable	vô lý
unreasonable reasonable	vô lý, vượt quá giới hạn của cái hợp lý
unsteady	không chắc, không ổn định
unsteady steady	không đúng mực, không vững, không chắc
unsuccessful	không thành công, thất bại
unsuccessful successful	không thành công, không thành đạt
untidy	không gọn gàng, không ngăn nắp, lộn xộn
untidy tidy	không gọn gàng, không ngăn nắp, lộn xộn
until	trước khi, cho đến khi
unusual	hiếm, khác thường, đáng chú ý
unusual, unusually usual	hiếm, khác thường
unusually	cực kỳ, khác thường
unwilling	không sẵn lòng, miễn cưỡng
unwilling, unwillingly willing	không muốn, không có ý định
unwillingly	không sẵn lòng, miễn cưỡng
up	ở trên, lên trên, lên
up load 	tải trọng thẳng đứng lên trên (lực nâng) 
upon	trên, ở trên
upper	cao hơn
upper floor	tầng trên
upset	làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upsetting test	sự thử co, sự thử chồn 
upside down	lộn ngược
upstairs	ở tên gác, cư ngụ ở tầng gác; tầng trên, gác
upward	lên, hướng lên, đi lên
urban	thành phố, khu vực
urge	thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
us	chúng tôi, chúng ta; tôi và anh
use	sử dụng, dùng; sự dùng, sự sử dụng
used	đã dùng, đã sử dụng
used to modal	đã quen dùng
used to sth/to doing sth	sử dụng cái gì, sử dụng để làm cái gì
useful	hữu ích, giúp ích
useful load 	tải trọng có ích 
useless	vô ích, vô dụng
user	người dùng, người sử dụng
usual	thông thường, thường dùng
usually	thường thường
utility room door	cửa buồng công trình phụ
utility room window 	cửa sổ buồng công trình phụ
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
vacuum concrete 	bê tông chân không 
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
variable load 	tải trọng biến đổi 
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
variations 	các thay đổi ( chủ đầu tư yêu cầu nhà thầu thực hiện một công việc nào đó khác đi so với hợp đồng ban đầu)
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
varying load 	tải trọng biến đổi 
vast	rộng lớn, mênh mông
vegetable	rau, thực vật
vehicle	xe cộ
venture	sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version	bản dịch sang một ngôn ngữ khác
vertical	thẳng đứng, đứng
vertical clearance	chiều cao tịnh không
vertical-tie	neo dạng thanh thẳng đứng để nối phần bê tông cốt thép khác nhau
very	rất, lắm
via	qua, theo đường
viaduct	cầu có trụ cao
vibrated concrete 	bê tông đầm rung 
vibration test	sự thử độ rung 
victim	nạn nhân
victory	chiến thắng
video	video
vierendeel girder 	giàn vierenddeel (giàn bỉ)
view	sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village	làng, xã
violence	sự ác liệt, sự dữ dội; bạo lực
violent	mãnh liệt, mạnh mẽ, hung dữ
violently	mãnh liệt, dữ dội
virtually	thực sự, hầu như, gần như
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visit	đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
visitor	khách, du khách
vital	sự sống, cần cho sự sống
vocabulary	từ vựng
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
vote	sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage	tiền lương, tiền công
waist	eo, chỗ thắt lưng
wait	chờ đợi
waiter, waitress	người hầu bàn, người đợi, người trông chờ
wake	thức dậy, tỉnh thức
walk	đi, đi bộ; sự đi bộ, sự đi dạo
walking	sự đi, sự đi bộ
wall	tường, vách
wall anchor	neo (vào) tường
wall beam 	dầm tường 
wallet	cái ví
wander	đi lang thang; sự đi lang thang
want	muốn
war	chiến tranh
warm	ấm, ấm áp; làm cho nóng, hâm nóng
warmth	trạng thái ấm, sự ấm áp; hơi ấm
warn	báo cho biết, cảnh báo
warning	sự báo trước, lời cảnh báo
warranty test	sự thử nghiệm thu 
warren girder 	giàn biên //mạng tam giác
wash	rửa, giặt
washing	sự tắm rửa, sự giặt
waste	lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch	nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water	nước
water cured concrete 	bê tông dưỡng hộ trong nước 
water test	sự thử thủy lực 
wave	sóng, gợn nước; gợn sóng, uốn thành sóng
way	đường, đường đi
we	chúng tôi, chúng ta
weak	yếu, yếu ớt
weakness	tình trạng yếu đuối, yếu ớt
wealth	sự giàu có, sự giàu sang
weapon	vũ khí
wear	mặc, mang, đeo
wearing test 	sự thử mài mòn 
weather	thời tiết
weathering steel (need not be painted)	thép chịu thời tiết (không cần sơn)
web	mạng, lưới
web girder 	giàn lưới thép, dầm đặc
web reinforcement	cốt thép trong sườn dầm
wedding	lễ cưới, hôn lễ
wednesday	thứ 4
week	tuần, tuần lễ
weekend	cuối tuần
weekly	mỗi tuần một lần, hàng tuần
weigh	cân, cân nặng
weight	trọng lượng
welcome	chào mừng, hoan nghênh
weldability test	sự thử tính hàn 
welded plate girder	dầm bản thép hàn
welded wire fabric, welded wire mesh	lưới cốt thép sợi hàn
welding test	sự thử bằng hàn 
well	tốt, giỏi; ôi, may quá!
well known	nổi tiếng, được nhiều người biết đến
west	phía tây, theo phía tây, về hướng tây
western	về phía tây, của phía tây
wet	ướt, ẩm ướt
wet concrete 	vữa bê tông dẻo 
wet guniting	phun bê tông ướt
what	gì, thế nào
whatever	bất cứ thứ gì, bất kể thứ gì
wheel	bánh xe
wheel load 	áp lực lên bánh xe 
wheelbarrow 	xe cút kít, xe đẩy tay
when	khi, lúc, vào lúc nào
whenever	bất cứ lúc nào, lúc nào
where	đâu, ở đâu; nơi mà
whereas	nhưng ngược lại, trong khi
wherever	ở bất cứ nơi nào, ở bất cứ nơi đâu
whether	có..không; có... chăng; không biết có.. không
which	nào, bất cứ.. nào; ấy, đó
while	trong lúc, trong khi; lúc, chốc, lát
whilst	trong lúc, trong khi
whisper	nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào
whistle	sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
white	trắng; màu trắng
who	ai, người nào, kẻ nào, người như thế nàow
whole	bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
whole beam 	dầm gỗ 
whom	ai, người nào; người mà
whose	của ai
why	tại sao, vì sao
wide	rộng, rộng lớn
widely	nhiều, xa; rộng rãi
width	tính chất rộng, bề rộng
wife	vợ
wild	dại, hoang
wildly	dại, hoang
will modal	sẽ; ý chí, ý định
willing	bằng lòng, vui lòng, muốn
willingly	sẵn lòng, tự nguyện
willingness	sự bằng lòng, sự vui lòng
win	chiếm, đọat, thu được
wind	quấn lại, cuộn lại
wind	gió
wind beam 	xà chống gió 
wind bracing	giằng gió
wind load 	tải trọng (do) gió 
wind sth up	lên dây, quấn, giải quyết
wind-tunnel test	sự thử bằng ống khí động học
window	cửa sổ
window ledge 	ngưỡng (bậu) cửa sổ 
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
winter	mùa đông
wire	dây
wise	khôn ngoan, sáng suốt, thông thái
wish	ước, mong muốn; sự mong ước, lòng mong muốn
with	với, cùng
withdraw	rút, rút khỏi, rút lui
within	trong vong thời gian, trong khoảng thời gian
without	không, không có
witness	sự làm chứng, bằng chứng; chứng kiến, làm chứng
woman	đàn bà, phụ nữ
wonder	ngạc nhiên, lấy làm lạ, kinh ngạc
wonderful	phi thường, khác thường, kỳ diệu, tuyệt vời
wood	gỗ
wooden	làm bằng gỗ
wooden beam 	xà gồ, dầm gỗ 
wool	len
word	từ
work	làm việc, sự làm việc
work platform (working platform) 	bục kê để xây
workable concrete 	bê tông dễ đổ 
worker	người lao động
working	sự làm, sự làm việc
working beam 	đòn cân bằng; xà vồ (để đập quặng) 
working load 	tải trọng làm việc
world	thế giới
worried	bồn chồn, lo nghĩ, tỏ ra lo lắng
worry	lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
